Actual_DO,Actual_pH,Actual_BOD,Predicted_DO,Predicted_pH,Predicted_BOD,Actual_WQI,Predicted_WQI,Actual_Category,Predicted_Category
8.0,7.11,2.7,7.9959893,7.242787,1.636322,83.32857142857142,89.1215,Good,Good
7.8,7.04,2.7,8.338365,7.095109,1.7960641,82.62857142857142,90.507835,Good,Excellent
8.0,7.4,1.2,7.468013,7.45228,1.3612397,91.08571428571427,87.23429,Excellent,Good
7.6,7.4,1.3,7.6078176,7.406044,1.3296204,88.48571428571428,88.32118,Good,Good
7.0,6.7,1.1,7.4702764,7.4125543,1.3766063,87.11428571428571,87.32366,Good,Good
7.1,7.5,1.4,7.4184966,7.2697906,1.3668361,84.95714285714286,87.73523,Good,Good
7.1,6.7,1.1,7.2959533,7.4605827,1.4284214,87.61428571428573,85.93532,Good,Good
7.2,6.7,1.1,7.4506125,7.278155,1.3371392,88.11428571428573,88.03814,Good,Good
7.1,6.7,1.1,7.4943748,7.271907,1.3227521,87.61428571428573,88.370056,Good,Good
7.3,7.5,1.3,7.468785,7.2771387,1.3337181,86.55714285714286,88.153885,Good,Good
7.2,7.5,1.2,7.3981194,7.4408965,1.389767,86.65714285714286,86.76244,Good,Good
6.1,7.3,1.2,7.354535,7.4443502,1.3738706,82.01428571428572,86.62509,Good,Good
6.3,7.4,1.2,6.9371567,7.4514537,1.5121293,82.58571428571427,83.678215,Good,Good
6.5,7.5,1.2,7.026731,7.476992,1.4673294,83.15714285714286,84.28542,Good,Good
10.4,8.15,1.0,9.883788,7.859452,1.0770515,100.0,99.27327,Excellent,Excellent
10.4,8.02,1.0,9.844534,7.863276,1.0826603,100.0,99.02695,Excellent,Excellent
10.4,8.11,1.0,9.860835,7.8412414,1.0831952,100.0,99.19969,Excellent,Excellent
10.4,8.1,1.0,9.847025,7.856503,1.0831839,100.0,99.06529,Excellent,Excellent
10.4,8.02,1.0,9.851693,7.8545365,1.0812494,100.0,99.10867,Excellent,Excellent
10.5,8.14,1.0,9.877908,7.839673,1.0731417,100.0,99.35209,Excellent,Excellent
10.3,8.11,1.0,9.892908,7.8571672,1.0708004,100.0,99.366165,Excellent,Excellent
10.5,8.24,1.0,9.814013,7.8602223,1.0847331,100.0,98.875,Excellent,Excellent
10.5,8.16,1.0,9.860341,7.875099,1.0785146,100.0,99.0802,Excellent,Excellent
10.5,8.16,1.0,9.870909,7.861491,1.0783067,100.0,99.192604,Excellent,Excellent
10.3,8.14,1.0,9.859667,7.8621483,1.0834316,100.0,99.10283,Excellent,Excellent
10.3,8.1,1.0,9.77559,7.86733,1.1004328,100.0,98.558235,Excellent,Excellent
8.1,7.4,2.8,8.28503,7.9504714,1.9472222,81.98571428571428,85.668365,Good,Good
9.0,7.5,2.8,7.65883,7.7062793,2.3196695,86.05714285714286,81.34923,Good,Good
8.5,8.2,2.6,8.06874,7.8537087,2.5365782,81.75714285714287,81.465485,Good,Good
8.4,8.2,2.8,8.183488,8.020197,2.529265,80.05714285714286,81.36958,Good,Good
9.2,8.1,2.6,8.106517,8.050545,2.6489434,85.68571428571428,80.13659,Good,Good
9.4,8.2,2.6,8.677139,8.119424,2.5062265,86.25714285714287,83.550804,Good,Good
9.6,7.6,2.2,8.815391,8.143621,2.489801,92.22857142857143,84.236916,Excellent,Good
9.8,8.1,2.8,8.998884,7.859339,2.204158,87.4857142857143,88.08659,Good,Good
