Actual_DO,Actual_pH,Actual_BOD,Pred_DO,Pred_pH,Pred_BOD,Actual_WQI,Predicted_WQI,Actual_Class,Predicted_Class
6.8,7.5,1.3,7.094987,7.530101,1.4761277,92.0,92.0,Excellent,Excellent
6.7,7.5,1.2,7.041583,7.538059,1.4786539,92.0,92.0,Excellent,Excellent
6.8,7.5,1.2,6.9838014,7.549392,1.4925511,92.0,92.0,Excellent,Excellent
6.8,7.5,1.3,7.029327,7.546053,1.4742961,92.0,92.0,Excellent,Excellent
6.9,7.5,1.3,7.0432763,7.545386,1.4765794,92.0,92.0,Excellent,Excellent
7.0,7.5,1.2,7.0655255,7.54907,1.4679852,92.0,92.0,Excellent,Excellent
7.2,7.5,1.1,7.084271,7.5361643,1.4429266,92.0,92.0,Excellent,Excellent
6.9,7.5,1.2,7.1293945,7.5266943,1.4155226,92.0,92.0,Excellent,Excellent
6.9,7.5,1.2,7.0696836,7.5217905,1.4332881,92.0,92.0,Excellent,Excellent
7.2,7.6,1.3,7.070198,7.517579,1.4276887,92.0,92.0,Excellent,Excellent
7.0,7.5,1.3,7.1532307,7.523052,1.4178412,92.0,92.0,Excellent,Excellent
6.9,7.5,1.2,7.1051106,7.511038,1.4279513,92.0,92.0,Excellent,Excellent
6.9,7.5,1.1,7.067149,7.5145855,1.427629,92.0,92.0,Excellent,Excellent
7.0,7.4,1.3,7.0581546,7.5163136,1.4207538,92.0,92.0,Excellent,Excellent
6.9,7.6,1.2,7.102617,7.4955535,1.4184965,92.0,92.0,Excellent,Excellent
7.1,7.5,1.1,7.0680056,7.525122,1.4260943,92.0,92.0,Excellent,Excellent
7.2,7.5,1.1,7.1090813,7.5042996,1.4005531,92.0,92.0,Excellent,Excellent
7.1,7.6,1.1,7.1321344,7.5003796,1.391589,92.0,92.0,Excellent,Excellent
7.2,7.5,1.2,7.1061916,7.520771,1.3979759,92.0,92.0,Excellent,Excellent
7.2,7.5,1.1,7.139446,7.501414,1.399287,92.0,92.0,Excellent,Excellent
7.2,7.5,1.1,7.129265,7.5010276,1.3915114,92.0,92.0,Excellent,Excellent
7.1,7.6,1.1,7.1296415,7.4996223,1.3896394,92.0,92.0,Excellent,Excellent
7.3,7.5,1.1,7.106902,7.518041,1.3927993,92.0,92.0,Excellent,Excellent
7.1,7.5,1.1,7.1513224,7.49679,1.379714,92.0,92.0,Excellent,Excellent
